,serial,OBJ_ALG,FAR_ALG,OBJ_FAR_AGG,LDCM,human_obj,human_far,human_objfaragg
321,3163,1.007774364,1.971259924,1.489517144,0.338752504,2,5.5,3.75
322,3169,0.276422025,0.881733209,0.579077617,-1.340219867,1,2,1.5
323,3171,1.531908278,2.599719037,2.065813657,0.231856414,2,7,4.5
324,3183,0.583825764,1.34598509,0.964905427,-0.138542538,2,6,4
325,3205,2.784870366,5.248705801,4.016788084,-0.223914146,2.5,2.5,2.5
326,3206,1.817587458,2.902807728,2.360197593,-0.376589211,2.5,2.5,2.5
327,3215,2.244291019,4.319943945,3.282117482,0.30957774,5,6.5,5.75
328,3219,0.323395264,0.156122599,0.239758931,-0.367268348,2,7,4.5
329,3238,1.309087356,3.551578074,2.430332715,0.29789149,6,7,6.5
330,3245,0.503361349,1.807966469,1.155663909,0.458130494,2.5,2,2.25
331,3261,0.56361491,0.754349583,0.658982246,-0.157181479,1.5,4.5,3
332,3265,1.786657295,4.84241214,3.314534717,0.60280654,2,4,3
333,3274,0.924380737,0.713251717,0.818816227,-1.075808308,1,3.5,2.25
334,3300,0.754810613,1.72098509,1.237897851,0.192941451,2,7,4.5
335,3302,1.978775247,5.869709706,3.924242477,0.271282771,1.5,3,2.25
336,3309,2.909425108,8.073240484,5.491332796,0.631969432,7,3.5,5.25
337,3314,1.192394598,2.159849508,1.676122053,-0.132129565,2,1.5,1.75
338,3325,0.698660473,1.074244982,0.886452728,-0.492250272,1.5,1.5,1.5
339,3326,2.570008321,7.439903386,5.004955853,0.198300641,6,6,6
340,3334,1.123060371,3.61909862,2.371079496,0.129821994,2,6,4
341,3351,0.897108622,1.352168996,1.124638809,-0.247408451,2,2.5,2.25
342,3356,0.99949424,1.872033961,1.4357641,-0.146818228,2,5,3.5
343,3358,1.966043152,3.382629281,2.674336216,0.645999286,3,2,2.5
344,3365,0.925120773,2.018556574,1.471838674,0.39128439,2.5,2.5,2.5
345,3367,0.846294075,2.598127151,1.722210613,0.255448326,2.5,2,2.25
346,3388,0.492418084,1.048219234,0.770318659,0.587369855,2,7,4.5
347,3389,0.362399613,0.572135635,0.467267624,-0.40570504,5.5,2,3.75
348,3427,6.20509837,7.063729115,6.634413743,0.348731432,3,5,4
349,3430,0.74975511,2.66695837,1.70835674,-0.142947777,2,5,3.5
350,3449,4.328519527,8.520806823,6.424663175,0.179050723,5.5,4.5,5
351,3454,4.518870143,9.874078445,7.196474294,-0.08941422,1.5,3,2.25
352,3463,1.616500133,3.655215572,2.635857853,0.060258645,2,6,4
353,3468,1.671484635,4.185630069,2.928557352,-0.429625259,2,3.5,2.75
354,3473,0.892579979,1.918306599,1.405443289,0.680691107,3,6.5,4.75
355,3480,1.03909473,1.225550461,1.132322596,0.060258645,6.5,7,6.75
356,3500,1.88348532,5.934238558,3.908861939,0.567337839,4,5,4.5
357,3515,1.238549533,2.090006356,1.664277945,0.251230864,3,5,4
358,3522,0.323395264,0.156122599,0.239758931,-0.17663896,5,2,3.5
359,3530,0.070502362,0.907503519,0.489002941,-0.635681,3,1,2
360,3555,2.321494494,5.347704396,3.834599445,0.800741314,2,5,3.5
361,3558,1.026863197,2.366592043,1.69672762,0.192941451,4,5,4.5
362,3608,1.007493281,2.334793792,1.671143537,-0.463792724,6,6,6
363,3621,1.757247449,3.156185723,2.456716586,0.237967083,2,7,4.5
364,3624,0.913331165,1.481776343,1.197553754,-0.090138466,2,7,4.5
365,3630,1.225700971,1.528181936,1.376941454,-1.421903413,2,4,3
366,3636,0.67900429,1.164693462,0.921848876,-0.472168345,2,5,3.5
367,3661,1.689117172,3.795759961,2.742438567,0.467874329,2,7,4.5
368,3666,0.321171418,2.687142245,1.504156831,1.016830098,5,2,3.5
369,3671,0.513323402,1.181718355,0.847520879,-0.358551118,1,1,1
