[ROOT-INFO]: 2019-07-15 19:22:40,817: Testing Notes: Objective Distancing - Sentiment Sentence Level - rawScore * subjectivityPolarityAverage
[ROOT-INFO]: 2019-07-15 19:22:40,818: Objective Analysis Initialized
[REAPPRAISAL-INFO]: 2019-07-15 19:23:04,068: spaCy Library Loaded
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:04,068: Model Initialized
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,961: Old Score: 4.0, New Score: 0.04
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,979: Old Score: 4.25, New Score: 1.275
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,012: Old Score: 3.4347826086956523, New Score: 1.7173913043478262
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,028: Old Score: 3.9574468085106393, New Score: 1.5829787234042558
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,045: Old Score: 3.4255319148936163, New Score: 2.8546099290780136
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,062: Old Score: 3.3829787234042548, New Score: 3.3829787234042548
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,080: Old Score: 4.541666666666667, New Score: 1.8166666666666669
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,096: Old Score: 4.085106382978723, New Score: 2.3343465045592704
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,128: Old Score: 3.4166666666666665, New Score: 3.0749999999999997
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,145: Old Score: 3.5416666666666665, New Score: 1.922619047619048
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,161: Old Score: 3.5319148936170213, New Score: 1.5599290780141843
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,162: Old Score: 5.1875, New Score: 0.051875000000000004
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,180: Old Score: 4.468085106382978, New Score: 0.04468085106382978
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,180: Old Score: 3.520833333333333, New Score: 1.4083333333333332
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,196: Old Score: 5.829787234042553, New Score: 0.05829787234042553
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,214: Old Score: 3.808510638297872, New Score: 1.904255319148936
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,214: Old Score: 4.74468085106383, New Score: 0.0474468085106383
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,230: Old Score: 3.3191489361702127, New Score: 3.3191489361702127
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,245: Old Score: 4.3125, New Score: 0.043125000000000004
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,247: Old Score: 4.895833333333333, New Score: 0.9791666666666665
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,263: Old Score: 3.7446808510638303, New Score: 1.6018912529550828
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,281: Old Score: 3.260869565217391, New Score: 1.6555183946488292
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,297: Old Score: 4.212765957446808, New Score: 1.404255319148936
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,314: Old Score: 3.978260869565217, New Score: 1.5913043478260869
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,314: Old Score: 3.8333333333333335, New Score: 0.03833333333333334
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,329: Old Score: 4.276595744680851, New Score: 0.04276595744680851
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,347: Old Score: 4.553191489361702, New Score: 0.04553191489361702
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,363: Old Score: 4.25531914893617, New Score: 1.9908814589665653
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:07,363: Old Score: 4.51063829787234, New Score: 0.0451063829787234
