[ROOT-INFO]: 2019-07-15 19:18:21,704: Testing Notes: Objective Distancing - Sentiment Sentence Level - rawScore * polarityOnly
[ROOT-INFO]: 2019-07-15 19:18:21,704: Objective Analysis Initialized
[REAPPRAISAL-INFO]: 2019-07-15 19:18:44,412: spaCy Library Loaded
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,414: Model Initialized
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,192: Old Score: 3.520833333333333, New Score: 1.2322916666666666
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,192: Old Score: 5.829787234042553, New Score: 5.829787234042553
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,208: Old Score: 3.808510638297872, New Score: 3.808510638297872
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,208: Old Score: 4.74468085106383, New Score: 4.74468085106383
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,226: Old Score: 3.3191489361702127, New Score: 1.3276595744680852
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,242: Old Score: 4.3125, New Score: 4.3125
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,242: Old Score: 4.895833333333333, New Score: 4.079861111111111
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,260: Old Score: 3.7446808510638303, New Score: 2.8709219858156034
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,290: Old Score: 3.260869565217391, New Score: 2.9765886287625416
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,295: Old Score: 4.212765957446808, New Score: 4.054787234042553
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,329: Old Score: 3.978260869565217, New Score: 3.7793478260869557
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,344: Old Score: 3.8333333333333335, New Score: 3.8333333333333335
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,378: Old Score: 4.276595744680851, New Score: 3.421276595744681
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,395: Old Score: 4.553191489361702, New Score: 4.553191489361702
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,428: Old Score: 4.25531914893617, New Score: 3.966565349544073
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,429: Old Score: 4.51063829787234, New Score: 4.51063829787234
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,468: Old Score: 3.5531914893617023, New Score: 3.0202127659574467
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,484: Old Score: 5.1489361702127665, New Score: 5.1489361702127665
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,501: Old Score: 5.893617021276596, New Score: 5.893617021276596
